INFO 2024-09-06 14:24:56,980 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-06 14:24:56,981 autoreload Waiting for apps ready_event.
DEBUG 2024-09-06 14:24:56,984 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-06 14:24:56,988 autoreload Watching dir /Users/bcariddi/playground/django-eliminator/eliminator/picks/templates with glob **/*.
DEBUG 2024-09-06 14:24:56,988 autoreload Watching dir /Users/bcariddi/playground/django-eliminator/eliminator/templates with glob **/*.
DEBUG 2024-09-06 14:24:56,988 autoreload Watching dir /Users/bcariddi/playground/django-eliminator/eliminator/locale with glob **/*.mo.
DEBUG 2024-09-06 14:24:56,988 autoreload Watching dir /Users/bcariddi/playground/django-eliminator/eliminator/picks/locale with glob **/*.mo.
DEBUG 2024-09-06 14:24:57,018 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-09-06 14:24:57,020 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/urls/base.py first seen with mtime 1725507325.2888281
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ast.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/futures.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/datetime.py first seen with mtime 1722971329.0
