week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
17,KC,PIT,2024-12-25,1:00PM,2.5,,,
17,BAL,HOU,2024-12-25,4:30PM,6,,,
17,SEA,CHI,2024-12-26,8:15PM,3.5,,,
17,LAC,NE,2024-12-28,1:00PM,4,,,
17,DEN,CIN,2024-12-28,4:30PM,-3.5,,,
17,ARI,LAR,2024-12-28,8:00PM,-6.5,,,
17,NYJ,BUF,2024-12-29,1:00PM,-10,,,
17,LV,NO,2024-12-29,1:00PM,1,,,
17,IND,NYG,2024-12-29,1:00PM,8,,,
17,DAL,PHI,2024-12-29,1:00PM,-9.5,,,
17,CAR,TB,2024-12-29,1:00PM,-8,,,
17,TEN,JAX,2024-12-29,1:00PM,1,,,
17,MIA,CLE,2024-12-29,4:05PM,6.5,,,
17,GB,MIN,2024-12-29,4:25PM,-1,,,
17,ATL,WAS,2024-12-29,8:20PM,-4,,,
17,DET,SF,2024-12-30,8:15PM,3.5,,,

