week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
4,DAL,NYG,2024-09-26,8:15PM,5,20,15,false
4,NO,ATL,2024-09-29,1:00PM,-2.5,24,26,false
4,LAR,CHI,2024-09-29,1:00PM,-3,18,24,false
4,MIN,GB,2024-09-29,1:00PM,-2.5,31,29,false
4,PIT,IND,2024-09-29,1:00PM,2,24,27,false
4,DEN,NYJ,2024-09-29,1:00PM,-7.5,10,9,false
4,PHI,TB,2024-09-29,1:00PM,2,16,33,false
4,CIN,CAR,2024-09-29,1:00PM,4.5,34,24,false
4,JAX,HOU,2024-09-29,1:00PM,-6,20,24,false
4,WAS,ARI,2024-09-29,4:05PM,-3.5,42,14,false
4,NE,SF,2024-09-29,4:05PM,-10,13,30,false
4,CLE,LV,2024-09-29,4:25PM,-2,16,20,false
4,KC,LAC,2024-09-29,4:25PM,7,17,10,false
4,BUF,BAL,2024-09-29,8:20PM,-2.5,10,35,false
4,TEN,MIA,2024-09-30,7:30PM,-1,31,12,false
4,SEA,DET,2024-09-30,8:15PM,-3.5,29,42,false

