week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
18,CLE,BAL,2025-01-04,1:00PM,,10,35,false
18,CIN,PIT,2025-01-04,4:00PM,,19,17,false
18,CAR,ATL,2025-01-05,1:00PM,-7.5,,,
18,WAS,DAL,2025-01-05,1:00PM,7,,,
18,CHI,GB,2025-01-05,1:00PM,-9.5,,,
18,HOU,TEN,2025-01-05,1:00PM,-2.5,,,
18,JAX,IND,2025-01-05,1:00PM,-3.5,,,
18,BUF,NE,2025-01-05,1:00PM,3.5,,,
18,NYG,PHI,2025-01-05,1:00PM,-2.5,,,
18,NO,TB,2025-01-05,1:00PM,-15,,,
18,KC,DEN,2025-01-05,4:25PM,-11,,,
18,LAC,LV,2025-01-05,4:25PM,7,,,
18,SEA,LAR,2025-01-05,4:25PM,7,,,
18,MIA,NYJ,2025-01-05,4:25PM,-1,,,
18,SF,ARI,2025-01-05,4:25PM,-4.5,,,
18,MIN,DET,2025-01-05,8:20PM,-3,,,

