week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
1,BAL,KC,2024-09-05,8:20PM,-3,,,,
1,GB,PHI,2024-09-06,8:20PM,-2.5,,,,
1,TEN,CHI,2024-09-08,1:00PM,-3.5,,,,
1,PIT,ATL,2024-09-08,1:00PM,-3.5,,,,
1,JAX,MIA,2024-09-08,1:00PM,-3.5,,,,
1,NE,CIN,2024-09-08,1:00PM,-8.5,,,,
1,HOU,IND,2024-09-08,1:00PM,2.5,,,,
1,MIN,NYG,2024-09-08,1:00PM,1.5,,,,
1,CAR,NO,2024-09-08,1:00PM,-3.5,,,,
1,ARI,BUF,2024-09-08,1:00PM,-6.5,,,,
1,LV,LAC,2024-09-08,4:05PM,-3,,,,
1,DEN,SEA,2024-09-08,4:05PM,-5.5,,,,
1,DAL,CLE,2024-09-08,4:25PM,-2.5,,,,
1,WAS,TB,2024-09-08,4:25PM,-3.5,,,,
1,LAR,DET,2024-09-08,8:20PM,-4.5,,,,
1,NYJ,SF,2024-09-09,8:20PM,-4.5,,,,
