week,away_team,home_team,date,time,home_spread,away_score,home_score,tie
3,NE,NYJ,2024-09-19,8:15PM,-6.5,3,24,false
3,LAC,PIT,2024-09-22,1:00PM,-1,10,20,false
3,HOU,MIN,2024-09-22,1:00PM,2.5,7,34,false
3,PHI,NO,2024-09-22,1:00PM,-2.5,15,12,false
3,DEN,TB,2024-09-22,1:00PM,-6.5,26,7,false
3,GB,TEN,2024-09-22,1:00PM,-3,30,14,false
3,NYG,CLE,2024-09-22,1:00PM,-6,21,15,false
3,CHI,IND,2024-09-22,1:00PM,-1,16,21,false
3,CAR,LV,2024-09-22,4:05PM,-5.5,36,22,false
3,MIA,SEA,2024-09-22,4:05PM,-4.5,3,24,false
3,BAL,DAL,2024-09-22,4:25PM,1,28,25,false
3,DET,ARI,2024-09-22,4:25PM,3,20,13,false
3,SF,LAR,2024-09-22,4:25PM,7.5,24,27,false
3,KC,ATL,2024-09-22,8:20PM,3.5,22,17,false
3,JAX,BUF,2024-09-23,7:30PM,-5.5,10,47,false
3,WAS,CIN,2024-09-23,8:15PM,-7.5,38,33,false

